"tokenID","name","description","file_name","animation_url","external_url","attributes[Primary Background]","attributes[Secondary Background]","attributes[Skin Tone]","attributes[Archetype Base]","attributes[Gender]","attributes[Headwear]","attributes[Eyewear]","attributes[Facial Hair]","attributes[Lip Color]","attributes[Earring Set]","attributes[Neckwear]","attributes[Mouth Accessory]","attributes[Primary Clothing]","attributes[Secondary Clothing]","attributes[Primary Watch]","attributes[Secondary Watch]","attributes[Hand Interaction]","attributes[Mental Activity]","attributes[Tier]"
"1164","Luxury Punks #1164","A high-end collection of luxury cybernetic punks with metallic assets.","images/1164.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1164.html","https://amormesbahi.github.io/luxury-punks-anim/html/1164.html","Magenta Pulse","Rose Particles","Ape Gold","Soft Female Profile","female","Rainbow Live Spikes","None","None","Gold Plated Lips","Gold Hoop","Holographic Silver Cord","Neon Lazer Rayon (Animated)","Blossom Lily Pink","Nerdy Leather Chrome","Random Custom Watch","Retro Digital Steel","Thumb Up","Suspicious Squint","Common"
"1165","Luxury Punks #1165","A high-end collection of luxury cybernetic punks with metallic assets.","images/1165.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1165.html","https://amormesbahi.github.io/luxury-punks-anim/html/1165.html","Indigo Scanline","Amber Circuit","Natural Beige","Alien Female Profile","female","Glitch Tiara","None","None","Diamond Studded Lips","Diamond Chandelier","Holographic Diamond Tie","None","Neon Dress","Blossom Lily Obsidian","Royal Octagon","Random Custom Watch","Thumb Up","Static Punk","Common"
"1166","Luxury Punks #1166","A high-end collection of luxury cybernetic punks with metallic assets.","images/1166.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1166.html","https://amormesbahi.github.io/luxury-punks-anim/html/1166.html","Cyan Matrix","Indigo Particles","LEGENDARY: Metallic Titanium","Soft Female Profile","female","None","Floating Star Monocle (Animated)","None","None","Diamond Stud","Plasma Chrome Blade","None","Nerdy Leather Classic","Camo Jacket","None","Luxury Gold Watch","None","Rapid Eye Twitch","Rare"
"1167","Luxury Punks #1167","A high-end collection of luxury cybernetic punks with metallic assets.","images/1167.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1167.html","https://amormesbahi.github.io/luxury-punks-anim/html/1167.html","Orange Glitch","Slate Glitch","Fair Light","Male Profile","male","None","Rose Gold Cat-Eye","Chinstrap","None","Gold Hoop","Pearl Necklace","None","Stealth Suit","Carbon Fiber Vest","None","Oyster Professional","None","Active Smoker & Blinking","Common"
"1168","Luxury Punks #1168","A high-end collection of luxury cybernetic punks with metallic assets.","images/1168.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1168.html","https://amormesbahi.github.io/luxury-punks-anim/html/1168.html","Amber Wave","Lime Matrix","Rich Brown","Heavy Ape Profile","male","None","None","Clean Shaven","None","Gold Hoop","Gold Medallion","Silver Luxury Veil","Mesh Shirt","Leather Muscle Prototype","None","Luxury Gold Watch","None","Static Punk","Common"
"1169","Luxury Punks #1169","A high-end collection of luxury cybernetic punks with metallic assets.","images/1169.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1169.html","https://amormesbahi.github.io/luxury-punks-anim/html/1169.html","Rose Orbit","Violet Orbit","Alien Indigo","Male Profile","male","Cyber Halo","Diamond Encrusted Aviators","Clean Shaven","None","None","Dual Tone Twist","None","Cyber Poncho","Brick Domino Rust","None","Oyster Professional","None","Scanning Cyber Laser","Rare"
"1170","Luxury Punks #1170","A high-end collection of luxury cybernetic punks with metallic assets.","images/1170.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1170.html","https://amormesbahi.github.io/luxury-punks-anim/html/1170.html","Slate Pulse","Magenta Orbit","Natural Beige","Alien Profile","male","None","Pearl Browline Glasses","Full Bushy Beard","None","Onyx Spike","Neon Quantum Collar","None","Samurai Armor","Leather Muscle Sky","Luxury Gold Watch","Random Custom Watch","Thumb Up","Active Smoker & Blinking","Common"
"1171","Luxury Punks #1171","A high-end collection of luxury cybernetic punks with metallic assets.","images/1171.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1171.html","https://amormesbahi.github.io/luxury-punks-anim/html/1171.html","Lime Grid","Violet Matrix","Natural Beige","Soft Female Profile","female","Toxic Leafs","None","None","Dark Purple Lips","Diamond Chandelier","Onyx Collar","None","Camo Jacket","Nerdy Leather Crimson","None","Oyster Professional","None","Rapid Eye Twitch","Common"
"1172","Luxury Punks #1172","A high-end collection of luxury cybernetic punks with metallic assets.","images/1172.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1172.html","https://amormesbahi.github.io/luxury-punks-anim/html/1172.html","Magenta Matrix","Amber Pulse","Fair Light","Male Profile","male","None","None","Shadow Beard","None","Gold Hoop","Crimson Velvet Wrap","None","Camo Hoodie","Leather Muscle Prototype","None","Oyster Professional","None","Pulsing Iris (Hypnotic)","Rare"
"1173","Luxury Punks #1173","A high-end collection of luxury cybernetic punks with metallic assets.","images/1173.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1173.html","https://amormesbahi.github.io/luxury-punks-anim/html/1173.html","Slate Glitch","Rose Wave","Natural Beige","Male Profile","male","Cybernetic Coil (Animated)","LEGENDARY: Plasma Storm Shield (Animated)","Clean Shaven","None","None","Holographic Onyx Disc","None","Brick Domino Obsidian","Hazard Suit","None","Oyster Professional","None","Rapid Eye Twitch","Common"
"1174","Luxury Punks #1174","A high-end collection of luxury cybernetic punks with metallic assets.","images/1174.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1174.html","https://amormesbahi.github.io/luxury-punks-anim/html/1174.html","Violet Static","Lime Matrix","Diamond Clear","Heavy Ape Profile","male","None","Onyx Round Frames","Full Bushy Beard","None","None","Holographic Cyber Chain","None","Neon Tank Top","Leather Jacket","Luxury Gold Watch","Cyber Holograph","Peace Sign","Suspicious Squint","Common"
"1175","Luxury Punks #1175","A high-end collection of luxury cybernetic punks with metallic assets.","images/1175.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1175.html","https://amormesbahi.github.io/luxury-punks-anim/html/1175.html","Sky Matrix","Slate Scanline","Deep Mocha","Heavy Ape Profile","male","Cyber Visor Cap","None","Clean Shaven","None","Gold Hoop","Cyber Scarf","None","Leather Jacket","Flannel Jacket","None","Oyster Professional","None","Static Punk","Rare"
"1176","Luxury Punks #1176","A high-end collection of luxury cybernetic punks with metallic assets.","images/1176.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1176.html","https://amormesbahi.github.io/luxury-punks-anim/html/1176.html","Lime Circuit","Violet Pulse","Fair Light","Alien Profile","male","Quantum Live Spikes","None","Chinstrap","None","Onyx Spike","Ruby Heart Locket","None","Graphic Tee","Neon Hoodie","None","Retro Digital Steel","None","Suspicious Squint","Common"
"1177","Luxury Punks #1177","A high-end collection of luxury cybernetic punks with metallic assets.","images/1177.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1177.html","https://amormesbahi.github.io/luxury-punks-anim/html/1177.html","Orange Grid","Lime Scanline","Natural Beige","Male Profile","male","Spectral Shifting","Crystal Orbit Specs (Animated)","Chinstrap","None","Gold Hoop","Shemagh Wrap","None","Brick Domino Obsidian","Gold Chainmail","None","Oyster Professional","None","Rapid Eye Twitch","Common"
"1178","Luxury Punks #1178","A high-end collection of luxury cybernetic punks with metallic assets.","images/1178.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1178.html","https://amormesbahi.github.io/luxury-punks-anim/html/1178.html","Amber Scanline","Lime Static","Warm Olive","Alien Profile","male","Cyber Live Spikes","Standard Eye","Gold Trim Beard","None","Onyx Spike","Voice Modulator Collar","Neon Cyan Roundie","Desert Poncho","Leather Muscle Jungle","None","Cyber Holograph","None","Active Smoker & Blinking","Common"
"1179","Luxury Punks #1179","A high-end collection of luxury cybernetic punks with metallic assets.","images/1179.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1179.html","https://amormesbahi.github.io/luxury-punks-anim/html/1179.html","Orange Orbit","Lime Circuit","Ape Gold","Heavy Ape Profile","male","Ethereal Blooming Flowers","Pearl Browline Glasses","Chinstrap","None","None","Animated Cyber Medallion","None","Denim Jacket","Glass Fiber Toxic","Royal Octagon","Luxury Gold Watch","Hand Shake","Suspicious Squint","Common"
"1180","Luxury Punks #1180","A high-end collection of luxury cybernetic punks with metallic assets.","images/1180.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1180.html","https://amormesbahi.github.io/luxury-punks-anim/html/1180.html","Slate Scanline","Rose Static","Natural Beige","Alien Profile","male","Plasma Leafs","Sapphire Shield Visor","Shadow Beard","None","Diamond Chandelier","Floating Onyx Chain","None","Silver Armor","Brick Domino Copper","None","Luxury Gold Watch","None","Static Punk","Common"
"1181","Luxury Punks #1181","A high-end collection of luxury cybernetic punks with metallic assets.","images/1181.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1181.html","https://amormesbahi.github.io/luxury-punks-anim/html/1181.html","Slate Particles","Violet Circuit","LEGENDARY: Metallic Silver","Alien Profile","male","Neon Fade (Animated)","Standard Eye","Shadow Beard","None","Diamond Stud","Glitch Cyber Locket","None","Gold Chainmail","Brick Domino White Marble","None","Luxury Gold Watch","None","Scanning Cyber Laser","Rare"
"1182","Luxury Punks #1182","A high-end collection of luxury cybernetic punks with metallic assets.","images/1182.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1182.html","https://amormesbahi.github.io/luxury-punks-anim/html/1182.html","Cyan Orbit","Indigo Wave","LEGENDARY: Ethereal Ghost","Sharp Angular Female","female","LEGENDARY: Neon Rainbow Cascade","Diamond Encrusted Aviators","None","Gold Plated Lips","Ruby Tear","Neon Crystal Scarf","Holographic Round Guard (Animated)","Nerdy Leather Prototype","Floral Dress","None","Royal Octagon","None","Pulsing Iris (Hypnotic)","Common"
"1183","Luxury Punks #1183","A high-end collection of luxury cybernetic punks with metallic assets.","images/1183.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1183.html","https://amormesbahi.github.io/luxury-punks-anim/html/1183.html","Violet Glitch","Violet Circuit","Rich Brown","Soft Female Profile","female","None","None","None","Ruby Red Lips","Diamond Stud","Plasma Silver Cord","Copper Steam Grille","Midnight Corset","Cybernetic Suit","None","Royal Octagon","None","Rapid Eye Twitch","Common"
"1184","Luxury Punks #1184","A high-end collection of luxury cybernetic punks with metallic assets.","images/1184.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1184.html","https://amormesbahi.github.io/luxury-punks-anim/html/1184.html","Slate Static","Indigo Scanline","Deep Mocha","Soft Female Profile","female","Galactic Curls","Holographic Butterfly (Animated)","None","None","Gold Hoop","Floating Chrome Band","None","Neon Dress","None","None","Retro Digital Steel","None","Pulsing Iris (Hypnotic)","Common"
"1185","Luxury Punks #1185","A high-end collection of luxury cybernetic punks with metallic assets.","images/1185.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1185.html","https://amormesbahi.github.io/luxury-punks-anim/html/1185.html","Violet Pulse","Indigo Scanline","Rich Brown","Male Profile","male","None","Standard Eye","Clean Shaven","None","Gold Hoop","Holographic Gold Collar","None","Knight Armor","Winter Coat","None","Retro Digital Steel","None","Suspicious Squint","Common"
"1186","Luxury Punks #1186","A high-end collection of luxury cybernetic punks with metallic assets.","images/1186.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1186.html","https://amormesbahi.github.io/luxury-punks-anim/html/1186.html","Sky Glitch","Violet Wave","Rich Brown","Male Profile","male","Top Knot Samurai","None","Clean Shaven","None","Ruby Tear","Rainbow Animated Croissant","None","Brick Domino Obsidian","Glass Fiber Sunset","None","Retro Digital Steel","None","Scanning Cyber Laser","Rare"
"1187","Luxury Punks #1187","A high-end collection of luxury cybernetic punks with metallic assets.","images/1187.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1187.html","https://amormesbahi.github.io/luxury-punks-anim/html/1187.html","Orange Static","Orange Matrix","Pale Steel","Sharp Angular Female","female","Messy Cyber Bob","None","None","None","None","Holographic Aether Croissant","Sparkling Gem Veil (Animated)","Cyber Armor","Wavy Ships Toxic","None","Luxury Gold Watch","None","Active Smoker & Blinking","Common"
"1188","Luxury Punks #1188","A high-end collection of luxury cybernetic punks with metallic assets.","images/1188.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1188.html","https://amormesbahi.github.io/luxury-punks-anim/html/1188.html","Amber Orbit","Amber Matrix","Rich Brown","Sharp Angular Female","female","Neon Curly Short (Animated)","None","None","Neon Cyan Lips","None","Holographic Ruby Rope","None","Bio-Suit","Nerdy Leather Glitch","Retro Digital Steel","Royal Octagon","Thumb Up","Rapid Eye Twitch","Common"
"1189","Luxury Punks #1189","A high-end collection of luxury cybernetic punks with metallic assets.","images/1189.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1189.html","https://amormesbahi.github.io/luxury-punks-anim/html/1189.html","Slate Matrix","Orange Particles","Ape Gold","Soft Female Profile","female","Plasma Shifting","None","None","Ruby Red Lips","Diamond Stud","Cyber Sigil Pendant","None","None","White Suit","None","Retro Digital Steel","None","Static Punk","Rare"
"1190","Luxury Punks #1190","A high-end collection of luxury cybernetic punks with metallic assets.","images/1190.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1190.html","https://amormesbahi.github.io/luxury-punks-anim/html/1190.html","Sky Scanline","Violet Orbit","Rich Brown","Soft Female Profile","female","None","Plasma Edge Visor (Animated)","None","Neon Cyan Lips","None","None","None","Nerdy Leather Chrome","Bio-Suit","Oyster Professional","Luxury Gold Watch","Thumb Up","Static Punk","Common"
"1191","Luxury Punks #1191","A high-end collection of luxury cybernetic punks with metallic assets.","images/1191.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1191.html","https://amormesbahi.github.io/luxury-punks-anim/html/1191.html","Lime Pulse","Sky Grid","Toxic Sludge","Soft Female Profile","female","Holographic Shifting","None","None","None","Gold Hoop","Velvet Ribbon","Gold Filigree Breather","Neon Top","Tactical Vest","None","Luxury Gold Watch","None","Suspicious Squint","Rare"
"1192","Luxury Punks #1192","A high-end collection of luxury cybernetic punks with metallic assets.","images/1192.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1192.html","https://amormesbahi.github.io/luxury-punks-anim/html/1192.html","Sky Pulse","Slate Glitch","Natural Beige","Alien Profile","male","Slicked Back Onyx","Titanium Punk Spikes","Gold Trim Beard","None","None","Camo Neck Gaiter","None","Techwear Jacket","Hazard Suit","None","Royal Octagon","None","Pulsing Iris (Hypnotic)","Common"
"1193","Luxury Punks #1193","A high-end collection of luxury cybernetic punks with metallic assets.","images/1193.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1193.html","https://amormesbahi.github.io/luxury-punks-anim/html/1193.html","Orange Orbit","Indigo Grid","Obsidian","Soft Female Profile","female","Aether Shifting","None","None","Ruby Red Lips","Gold Hoop","Floral Silk Scarf","None","Crimson Gown","Neon Top","None","Oyster Professional","None","Pulsing Iris (Hypnotic)","Common"
"1194","Luxury Punks #1194","A high-end collection of luxury cybernetic punks with metallic assets.","images/1194.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1194.html","https://amormesbahi.github.io/luxury-punks-anim/html/1194.html","Sky Wave","Lime Wave","Diamond Clear","Heavy Ape Profile","male","Cyber Circles","Rose Gold Cat-Eye","Shadow Beard","None","Neon Ring","Bio-Luminescent Cord","None","Techwear Jacket","Silk Shirt","None","Oyster Professional","None","Static Punk","Common"
"1195","Luxury Punks #1195","A high-end collection of luxury cybernetic punks with metallic assets.","images/1195.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1195.html","https://amormesbahi.github.io/luxury-punks-anim/html/1195.html","Sky Static","Violet Orbit","Natural Beige","Male Profile","male","Aether Leafs","None","Full Bushy Beard","None","None","Tech-Knit Scarf","Neon Lazer Rayon (Animated)","Neon Trench Coat","Cybernetic Exosuit","None","Royal Octagon","None","Static Punk","Common"
"1196","Luxury Punks #1196","A high-end collection of luxury cybernetic punks with metallic assets.","images/1196.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1196.html","https://amormesbahi.github.io/luxury-punks-anim/html/1196.html","Amber Matrix","Lime Static","Warm Olive","Alien Profile","male","Blond Afro","Onyx Round Frames","Full Bushy Beard","None","None","Neon Sapphire Collar","None","Trench Coat","None","None","Oyster Professional","None","Static Punk","Rare"
"1197","Luxury Punks #1197","A high-end collection of luxury cybernetic punks with metallic assets.","images/1197.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1197.html","https://amormesbahi.github.io/luxury-punks-anim/html/1197.html","Rose Matrix","Amber Glitch","Natural Beige","Alien Female Profile","female","None","Plasma Edge Visor (Animated)","None","None","None","Holographic Gold Stole","Shifting Color Shell (Animated)","Blossom Lily Obsidian","Wavy Ships Glitch","Retro Digital Steel","Oyster Professional","Thumb Up","Suspicious Squint","Rare"
"1198","Luxury Punks #1198","A high-end collection of luxury cybernetic punks with metallic assets.","images/1198.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1198.html","https://amormesbahi.github.io/luxury-punks-anim/html/1198.html","Rose Circuit","Cyan Particles","Rich Brown","Alien Female Profile","female","Plasma Shifting","None","None","Neon Cyan Lips","Gold Hoop","Neon Onyx Disc","None","Denim Jacket","Knight Armor","None","Oyster Professional","None","Static Punk","Common"
"1199","Luxury Punks #1199","A high-end collection of luxury cybernetic punks with metallic assets.","images/1199.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1199.html","https://amormesbahi.github.io/luxury-punks-anim/html/1199.html","Cyan Matrix","Rose Particles","Holographic Iridescent","Alien Female Profile","female","Long Neon Hair","LEGENDARY: Gold Laser Wing Frames","None","None","Emerald Stud","Neon Sapphire Blade","None","Flannel Shirt","Wavy Ships Starry","None","Retro Digital Steel","None","Suspicious Squint","Rare"
"1200","Luxury Punks #1200","A high-end collection of luxury cybernetic punks with metallic assets.","images/1200.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1200.html","https://amormesbahi.github.io/luxury-punks-anim/html/1200.html","Cyan Glitch","Magenta Orbit","Ape Gold","Alien Profile","male","Wild Spikes","LEGENDARY: Gold Laser Wing Frames","Full Bushy Beard","None","Neon Ring","Neon Crystal Link","Amber Rayon Shield","Royal Suit","Samurai Armor","Cyber Holograph","Royal Octagon","Pointing Hand","Pulsing Iris (Hypnotic)","Common"
"1201","Luxury Punks #1201","A high-end collection of luxury cybernetic punks with metallic assets.","images/1201.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1201.html","https://amormesbahi.github.io/luxury-punks-anim/html/1201.html","Rose Wave","Magenta Scanline","Warm Olive","Alien Profile","male","None","Neon Glow Aviators (Animated)","Clean Shaven","None","Diamond Stud","Cyber Scarf","None","Cybernetic Exosuit","Brick Domino Elite","Royal Octagon","Oyster Professional","Hand Shake","Scanning Cyber Laser","Rare"
"1202","Luxury Punks #1202","A high-end collection of luxury cybernetic punks with metallic assets.","images/1202.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1202.html","https://amormesbahi.github.io/luxury-punks-anim/html/1202.html","Indigo Matrix","Indigo Wave","Fair Light","Soft Female Profile","female","Long Neon Hair","LEGENDARY: Gold Laser Wing Frames","None","None","Diamond Stud","Pearl Necklace","Pulsing Core Respirator (Animated)","Neon Dress","Crimson Gown","None","Random Custom Watch","None","Suspicious Squint","Rare"
"1203","Luxury Punks #1203","A high-end collection of luxury cybernetic punks with metallic assets.","images/1203.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1203.html","https://amormesbahi.github.io/luxury-punks-anim/html/1203.html","Slate Grid","Amber Pulse","Natural Beige","Sharp Angular Female","female","LEGENDARY: Blooming Crystal Flowers","Onyx Round Frames","None","Gold Plated Lips","None","Black Choker","Starry Night Shield (Animated)","Neon Top","Cyber Armor","Retro Digital Steel","Luxury Gold Watch","Peace Sign","Scanning Cyber Laser","Rare"
"1204","Luxury Punks #1204","A high-end collection of luxury cybernetic punks with metallic assets.","images/1204.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1204.html","https://amormesbahi.github.io/luxury-punks-anim/html/1204.html","Rose Wave","Indigo Matrix","Rich Brown","Sharp Angular Female","female","Quantum Blooming Flowers","None","None","None","Onyx Spike","Pulsing Carbon Link","Infinity Loop Filter (Animated)","Holographic Crop Top","Samurai Armor","None","Retro Digital Steel","None","Scanning Cyber Laser","Rare"
"1205","Luxury Punks #1205","A high-end collection of luxury cybernetic punks with metallic assets.","images/1205.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1205.html","https://amormesbahi.github.io/luxury-punks-anim/html/1205.html","Slate Circuit","Magenta Circuit","Fair Light","Male Profile","male","Cyber Halo","Platinum Half-Rim","Clean Shaven","None","None","None","None","Holographic Jacket","Neon Tank Top","None","Retro Digital Steel","None","Active Smoker & Blinking","Common"
"1206","Luxury Punks #1206","A high-end collection of luxury cybernetic punks with metallic assets.","images/1206.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1206.html","https://amormesbahi.github.io/luxury-punks-anim/html/1206.html","Indigo Pulse","Magenta Glitch","Fair Light","Heavy Ape Profile","male","Digital Glitch Hair (Animated)","None","Full Bushy Beard","None","Emerald Stud","Gold Thick Chain","None","Samurai Armor","Pinstripe Suit","None","Royal Octagon","None","Suspicious Squint","Common"
"1207","Luxury Punks #1207","A high-end collection of luxury cybernetic punks with metallic assets.","images/1207.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1207.html","https://amormesbahi.github.io/luxury-punks-anim/html/1207.html","Slate Orbit","Amber Static","Zombie PVD","Alien Profile","male","Silk Top Hat","Emerald Oval Specs","Clean Shaven","None","Gold Hoop","Velvet Ribbon","None","Trench Coat","Winter Coat","Retro Digital Steel","Random Custom Watch","Thumb Up","Active Smoker & Blinking","Rare"
"1208","Legendary Punk #1208","A high-end collection of luxury cybernetic punks with metallic assets.","images/1208.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1208.html","https://amormesbahi.github.io/luxury-punks-anim/html/1208.html","Alpha #109","Violet Wave","Liquid Mercury","Alien Profile","male","LEGENDARY: Pulsing Neon Circles","LEGENDARY: Supernova Burst (Animated)","Clean Shaven","None","Gold Hoop","Triple Stack Gold","None","Winter Coat","Glass Fiber Chrome","LEGENDARY: Microwave","Random Custom Watch","Pointing Hand","Rapid Eye Twitch","Legendary"
"1209","Luxury Punks #1209","A high-end collection of luxury cybernetic punks with metallic assets.","images/1209.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1209.html","https://amormesbahi.github.io/luxury-punks-anim/html/1209.html","Slate Scanline","Sky Pulse","Natural Beige","Heavy Ape Profile","male","None","Standard Eye","Shadow Beard","None","None","Triple Stack Gold","None","Desert Poncho","None","None","Luxury Gold Watch","None","Rapid Eye Twitch","Common"
"1210","Luxury Punks #1210","A high-end collection of luxury cybernetic punks with metallic assets.","images/1210.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1210.html","https://amormesbahi.github.io/luxury-punks-anim/html/1210.html","Cyan Glitch","Amber Matrix","Natural Beige","Alien Profile","male","Toxic Circles","Pulsing Diamond Rounds (Animated)","Gold Trim Beard","None","Diamond Stud","Chrome Tech Choker","None","Leather Muscle Black","Trench Coat","None","Luxury Gold Watch","None","Static Punk","Common"
"1211","Luxury Punks #1211","A high-end collection of luxury cybernetic punks with metallic assets.","images/1211.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1211.html","https://amormesbahi.github.io/luxury-punks-anim/html/1211.html","Cyan Static","Violet Wave","Natural Beige","Sharp Angular Female","female","Bio-luminescent Shifting","None","None","None","Ruby Tear","Plasma Cyber Disc","Sparkling Gem Veil (Animated)","Denim Jacket","Silk Blouse","None","Oyster Professional","None","Suspicious Squint","Common"
"1212","Luxury Punks #1212","A high-end collection of luxury cybernetic punks with metallic assets.","images/1212.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1212.html","https://amormesbahi.github.io/luxury-punks-anim/html/1212.html","Lime Grid","Slate Glitch","Rich Brown","Heavy Ape Profile","male","Curly Top Fade","Luxury LED Cat-Eye (Animated)","Clean Shaven","None","None","Floating Gold Disc","None","None","Crimson Jacket","None","Retro Digital Steel","None","Active Smoker & Blinking","Common"
"1213","Luxury Punks #1213","A high-end collection of luxury cybernetic punks with metallic assets.","images/1213.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1213.html","https://amormesbahi.github.io/luxury-punks-anim/html/1213.html","Violet Static","Cyan Orbit","Rich Brown","Alien Female Profile","female","Quantum Buzzcut (Animated)","None","None","None","Diamond Stud","Holographic Gold Collar","None","Mecha Armor","Cyber Robe","Luxury Gold Watch","Retro Digital Steel","Thumb Up","Scanning Cyber Laser","Rare"
"1214","Luxury Punks #1214","A high-end collection of luxury cybernetic punks with metallic assets.","images/1214.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1214.html","https://amormesbahi.github.io/luxury-punks-anim/html/1214.html","Lime Scanline","Orange Particles","Deep Mocha","Heavy Ape Profile","male","Rainbow Live Spikes","None","Chinstrap","None","Ruby Tear","Plasma Silver Chain","None","Glass Fiber Nebula","Tactical Jacket","None","Retro Digital Steel","None","Active Smoker & Blinking","Common"
"1215","Luxury Punks #1215","A high-end collection of luxury cybernetic punks with metallic assets.","images/1215.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1215.html","https://amormesbahi.github.io/luxury-punks-anim/html/1215.html","Sky Circuit","Amber Particles","Natural Beige","Male Profile","male","None","None","Chinstrap","None","Diamond Chandelier","Plasma Aether Band","Gold Filigree Breather","Cyber Poncho","None","Royal Octagon","Luxury Gold Watch","Thumb Up","Active Smoker & Blinking","Common"
"1216","Luxury Punks #1216","A high-end collection of luxury cybernetic punks with metallic assets.","images/1216.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1216.html","https://amormesbahi.github.io/luxury-punks-anim/html/1216.html","Sky Glitch","Lime Scanline","Warm Olive","Male Profile","male","Quantum Buzzcut (Animated)","None","Clean Shaven","None","None","None","Liquid Gold Filter (Animated)","Carbon Fiber Vest","Silk Shirt","None","Luxury Gold Watch","None","Active Smoker & Blinking","Common"
"1217","Luxury Punks #1217","A high-end collection of luxury cybernetic punks with metallic assets.","images/1217.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1217.html","https://amormesbahi.github.io/luxury-punks-anim/html/1217.html","Violet Scanline","Cyan Pulse","Fair Light","Alien Profile","male","Bandana Wrap","Crystal Orbit Specs (Animated)","Full Bushy Beard","None","None","Plasma Cyber Scarf","Neon Lazer Rayon (Animated)","Glass Fiber Iridescent","Holographic Tuxedo","Luxury Gold Watch","Retro Digital Steel","Hand Shake","Rapid Eye Twitch","Common"
"1218","Luxury Punks #1218","A high-end collection of luxury cybernetic punks with metallic assets.","images/1218.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1218.html","https://amormesbahi.github.io/luxury-punks-anim/html/1218.html","Violet Matrix","Orange Scanline","Fair Light","Soft Female Profile","female","Cybernetic Coil (Animated)","Gold Butterfly Shades","None","Ruby Red Lips","Diamond Chandelier","Holographic Aether Croissant","Rotating Gear Grate (Animated)","White Suit","Neon Top","Luxury Gold Watch","Cyber Holograph","Hand Shake","Scanning Cyber Laser","Rare"
"1219","Luxury Punks #1219","A high-end collection of luxury cybernetic punks with metallic assets.","images/1219.svg","https://amormesbahi.github.io/luxury-punks-anim/html/1219.html","https://amormesbahi.github.io/luxury-punks-anim/html/1219.html","Violet Circuit","Magenta Grid","LEGENDARY: Metallic Bronze","Alien Profile","male","Plasma Spikes (Animated)","None","Gold Trim Beard","None","Diamond Stud","Animated Quantum Chain","Copper Steam Grille","Velvet Suit","Brick Domino Rust","Oyster Professional","Luxury Gold Watch","Thumb Up","Active Smoker & Blinking","Common"
